status,name,solver,mem,nvar,time,memory,num_iter,nvmops,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc,is_init_run
first_order,NZF1,LBFGSSolver,77,91,1.405433256,0.283136,59,59,70,1.443e-6,0.000592,3,64,1.6442e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,78,91,1.4054722210000001,0.286304,59,59,70,3.156e-6,0.000592,3,64,1.8806e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,79,91,1.4054305020000002,0.289472,59,59,70,1.332e-6,0.000592,3,64,1.6512e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,80,91,1.405435671,0.292576,59,59,70,1.382e-6,0.000592,3,64,1.6592e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,81,91,1.4054388580000001,0.295744,59,59,70,1.413e-6,0.000592,3,64,1.6531e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,82,91,1.405435972,0.299168,59,59,70,1.393e-6,0.000592,3,64,1.6312e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,83,91,1.4054382570000001,0.302336,59,59,70,1.362e-6,0.000592,3,64,1.6521e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,84,91,1.405436283,0.305568,59,59,70,1.573e-6,0.000592,3,64,1.6471e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,85,91,1.405436874,0.308736,59,59,70,1.383e-6,0.000592,3,64,1.6642e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,86,91,1.405436603,0.311904,59,59,70,1.473e-6,0.000592,3,64,1.6361e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,87,91,1.4054383270000002,0.315072,59,59,70,1.403e-6,0.000592,3,64,1.6501e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,88,91,1.40544015,0.318176,59,59,70,1.423e-6,0.000592,3,64,1.6502e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,89,91,1.405438717,0.321344,59,59,70,1.553e-6,0.000592,3,64,1.6442e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,90,91,1.4054969080000002,0.324832,59,59,70,3.096e-6,0.000592,3,64,1.8205e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,91,91,1.4054633650000001,0.328,59,59,70,1.382e-6,0.000592,3,64,1.6472e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,92,91,1.405467473,0.331248,59,59,70,1.413e-6,0.000592,3,64,1.6542e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,93,91,1.405472011,0.334416,59,59,70,1.463e-6,0.000592,3,64,1.6511e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,94,91,1.405450019,0.337584,59,59,70,1.393e-6,0.000592,3,64,1.6511e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,95,91,1.4054388480000002,0.340752,59,59,70,1.383e-6,0.000592,3,64,1.6521e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,96,91,1.405441342,0.343856,59,59,70,1.593e-6,0.000592,3,64,1.6441e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,97,91,1.4054437370000001,0.347024,59,59,70,1.413e-6,0.000592,3,64,1.6501e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,98,91,1.405446482,0.350192,59,59,70,1.463e-6,0.000592,3,64,1.6471e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,99,91,1.405443116,0.35336,59,59,70,1.382e-6,0.000592,3,64,1.6421e-5,0.00144,5,false
first_order,NZF1,LBFGSSolver,100,91,1.4054825610000001,0.356784,59,59,70,1.312e-6,0.000592,3,64,1.6311e-5,0.00144,5,false
first_order,arglina,LBFGSSolver,1,100,0.0046456299999999996,0.018888,1,1,3,0.084510445,12.951816,244446,3,0.250956704,23.204368,442089,true
first_order,arglina,LBFGSSolver,1,100,0.004524067,0.018888,1,1,3,4.739e-6,0.000592,3,3,5.4454e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,2,100,0.004526061,0.022432,1,1,3,4.178e-6,0.000592,3,3,6.5666e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,3,100,0.004524729,0.025904,1,1,3,4.048e-6,0.000592,3,3,5.8883e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,4,100,0.004524027,0.02944,1,1,3,3.958e-6,0.000592,3,3,5.8813e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,5,100,0.004534297,0.032912,1,1,3,3.867e-6,0.000592,3,3,5.8682e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,6,100,0.004526822,0.036448,1,1,3,3.968e-6,0.000592,3,3,5.9213e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,7,100,0.004526822,0.03992,1,1,3,3.798e-6,0.000592,3,3,6.5496e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,8,100,0.004526663,0.043456,1,1,3,3.838e-6,0.000592,3,3,5.8683e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,9,100,0.004533395,0.046928,1,1,3,3.818e-6,0.000592,3,3,5.9354e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,10,100,0.004529838,0.050464,1,1,3,3.727e-6,0.000592,3,3,5.8662e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,11,100,0.004526131,0.053936,1,1,3,3.697e-6,0.000592,3,3,5.8913e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,12,100,0.004527283,0.057472,1,1,3,3.958e-6,0.000592,3,3,6.6156e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,13,100,0.004527834,0.060944,1,1,3,3.767e-6,0.000592,3,3,5.8572e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,14,100,0.0046063549999999995,0.06448,1,1,3,9.668e-6,0.000592,3,3,6.5616e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,15,100,0.004543123,0.067952,1,1,3,3.948e-6,0.000592,3,3,5.8943e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,16,100,0.0045299879999999995,0.071488,1,1,3,3.827e-6,0.000592,3,3,5.9083e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,17,100,0.004530469,0.07496,1,1,3,3.937e-6,0.000592,3,3,5.8883e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,18,100,0.004530139,0.078512,1,1,3,3.928e-6,0.000592,3,3,5.8832e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,19,100,0.004538815,0.081968,1,1,3,3.858e-6,0.000592,3,3,5.8823e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,20,100,0.004543284,0.08552,1,1,3,3.867e-6,0.000592,3,3,5.8983e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,21,100,0.004532483,0.088976,1,1,3,3.928e-6,0.000592,3,3,5.8932e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,22,100,0.004532102,0.092528,1,1,3,3.797e-6,0.000592,3,3,5.9013e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,23,100,0.004530289,0.095984,1,1,3,3.717e-6,0.000592,3,3,5.8822e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,24,100,0.004533936,0.099552,1,1,3,3.778e-6,0.000592,3,3,5.9113e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,25,100,0.004537763,0.103008,1,1,3,3.787e-6,0.000592,3,3,5.8822e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,26,100,0.00453089,0.106528,1,1,3,4.108e-6,0.000592,3,3,5.8742e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,27,100,0.004532503,0.110032,1,1,3,3.868e-6,0.000592,3,3,6.5665e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,28,100,0.004532073,0.113552,1,1,3,3.747e-6,0.000592,3,3,5.8852e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,29,100,0.004532694,0.117008,1,1,3,3.857e-6,0.000592,3,3,5.8732e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,30,100,0.004533185,0.120576,1,1,3,3.807e-6,0.000592,3,3,5.8813e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,31,100,0.004613197,0.124032,1,1,3,8.005e-6,0.000592,3,3,5.9704e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,32,100,0.004534577,0.127552,1,1,3,3.917e-6,0.000592,3,3,5.9183e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,33,100,0.0045338259999999995,0.13104,1,1,3,3.767e-6,0.000592,3,3,5.8772e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,34,100,0.004547331,0.13456,1,1,3,3.728e-6,0.000592,3,3,5.8903e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,35,100,0.0045395669999999996,0.138064,1,1,3,3.737e-6,0.000592,3,3,5.8712e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,36,100,0.004536871,0.141648,1,1,3,4.048e-6,0.000592,3,3,6.6527e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,37,100,0.00453634,0.145104,1,1,3,3.717e-6,0.000592,3,3,5.8732e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,38,100,0.004538395,0.148608,1,1,3,3.727e-6,0.000592,3,3,5.8922e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,39,100,0.004545047,0.152064,1,1,3,3.697e-6,0.000592,3,3,5.8642e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,40,100,0.004534868,0.155648,1,1,3,3.787e-6,0.000592,3,3,5.8662e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,41,100,0.004536862,0.159168,1,1,3,3.667e-6,0.000592,3,3,6.5765e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,42,100,0.0045363109999999995,0.162624,1,1,3,3.907e-6,0.000592,3,3,5.8752e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,43,100,0.004536862,0.16608,1,1,3,3.677e-6,0.000592,3,3,5.8822e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,44,100,0.00453627,0.169664,1,1,3,3.787e-6,0.000592,3,3,5.8742e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,45,100,0.004537863,0.1732,1,1,3,3.877e-6,0.000592,3,3,5.8792e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,46,100,0.0045503769999999995,0.176656,1,1,3,3.787e-6,0.000592,3,3,5.8552e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,47,100,0.004539065,0.180112,1,1,3,3.778e-6,0.000592,3,3,5.8753e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,48,100,0.004567049,0.18376,1,1,3,5.851e-6,0.000592,3,3,6.0075e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,49,100,0.004541671,0.187216,1,1,3,3.767e-6,0.000592,3,3,5.8682e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,50,100,0.00454659,0.190752,1,1,3,3.777e-6,0.000592,3,3,5.8742e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,51,100,0.0045433439999999995,0.194208,1,1,3,3.637e-6,0.000592,3,3,5.8592e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,52,100,0.004541741,0.197664,1,1,3,3.807e-6,0.000592,3,3,5.8682e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,53,100,0.0045500969999999995,0.20112,1,1,3,3.877e-6,0.000592,3,3,5.8722e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,54,100,0.004540629,0.204768,1,1,3,4.008e-6,0.000592,3,3,5.8672e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,55,100,0.004543053,0.208336,1,1,3,3.707e-6,0.000592,3,3,5.8692e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,56,100,0.004540789,0.211792,1,1,3,3.707e-6,0.000592,3,3,5.9033e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,57,100,0.0045418509999999995,0.215248,1,1,3,3.717e-6,0.000592,3,3,5.8772e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,58,100,0.004548644,0.218704,1,1,3,3.798e-6,0.000592,3,3,5.8993e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,59,100,0.004543324,0.22216,1,1,3,3.807e-6,0.000592,3,3,5.8842e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,60,100,0.0045665079999999995,0.225808,1,1,3,5.55e-6,0.000592,3,3,6.0466e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,61,100,0.004546109,0.229264,1,1,3,3.737e-6,0.000592,3,3,5.8632e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,62,100,0.004561158,0.2328,1,1,3,3.707e-6,0.000592,3,3,5.8702e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,63,100,0.004546269,0.236256,1,1,3,3.707e-6,0.000592,3,3,5.8772e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,64,100,0.0045462,0.239712,1,1,3,3.627e-6,0.000592,3,3,5.8722e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,65,100,0.004545779,0.243168,1,1,3,3.767e-6,0.000592,3,3,5.8802e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,66,100,0.0045454779999999995,0.246752,1,1,3,3.978e-6,0.000592,3,3,5.8882e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,67,100,0.004554536,0.250288,1,1,3,3.667e-6,0.000592,3,3,5.8732e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,68,100,0.004546109,0.253744,1,1,3,3.698e-6,0.000592,3,3,5.8953e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,69,100,0.00454637,0.2572,1,1,3,3.737e-6,0.000592,3,3,5.8812e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,70,100,0.004547481,0.260848,1,1,3,3.787e-6,0.000592,3,3,5.8662e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,71,100,0.004549656,0.264304,1,1,3,3.797e-6,0.000592,3,3,5.8702e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,72,100,0.00456182,0.26784,1,1,3,4.839e-6,0.000592,3,3,5.4604e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,73,100,0.004555357,0.271296,1,1,3,3.737e-6,0.000592,3,3,5.8542e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,74,100,0.004563051,0.274752,1,1,3,3.757e-6,0.000592,3,3,5.8662e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,75,100,0.00455179,0.278208,1,1,3,3.807e-6,0.000592,3,3,5.8632e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,76,100,0.004550528,0.281856,1,1,3,3.717e-6,0.000592,3,3,5.8652e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,77,100,0.004549717,0.285424,1,1,3,3.727e-6,0.000592,3,3,5.8612e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,78,100,0.004549656,0.28888,1,1,3,3.867e-6,0.000592,3,3,5.8702e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,79,100,0.004560917,0.292336,1,1,3,3.717e-6,0.000592,3,3,5.8512e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,80,100,0.004550528,0.295792,1,1,3,3.667e-6,0.000592,3,3,5.8662e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,81,100,0.0045532129999999995,0.299248,1,1,3,3.757e-6,0.000592,3,3,5.8591e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,82,100,0.004553032,0.30296,1,1,3,3.787e-6,0.000592,3,3,5.8572e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,83,100,0.004571227,0.306416,1,1,3,3.718e-6,0.000592,3,3,5.8612e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,84,100,0.004569033,0.31,1,1,3,4.98e-6,0.000592,3,3,5.4885e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,85,100,0.004563623,0.313456,1,1,3,3.837e-6,0.000592,3,3,5.8572e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,86,100,0.004565356,0.316912,1,1,3,3.747e-6,0.000592,3,3,5.8762e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,87,100,0.004556209,0.320368,1,1,3,3.807e-6,0.000592,3,3,5.8762e-5,0.00152,5,false
first_order,arglina,LBFGSSolver,88,100,0.004554746,0.323824,1,1,3,3.817e-6,0.000592,3,3,5.8692e-5,0.00152,5,false
